"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1103","test_hotel_list","test","Mon Mar 16 17:15:00 UTC 2026","passed","Mon Mar 16 17:15:01 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1860","Hootel Login","test","Mon Mar 16 17:14:56 UTC 2026","passed","Mon Mar 16 17:14:58 UTC 2026","TestHootel","test_hootel","",""
